name,skin_type,date,date_original,comment
bziyaaa_,"Combination, Medium Light, Cool",2025-02-08,08 Feb 2025,buat tipe kulit yg combination to oily sangat amat membantu muka ku ini dan juga dia tuh nggak gampang bikin muka kusam bantu skin barrier di wajahku jadi lebih baik yg awalnya breakout parah jadi lebih mendingan pake moist ini. dia tuh tipe moist yg nggak bikin kek gerah bgt gitu dimuka pokoknya worth to buyyy parahh
fitripuji22,"Dry, Medium, Neutral",2025-02-08,08 Feb 2025,Bagus bangettt pokok nya mois dari skintific kebetulan saya pake cream nya juga ringan bgt ada perubahandiwajah saya bisa putih kenyal seperti mutiara hehepokok tetep dipertahankanyaa skintific memang bagus saya suka ayo belii kalian
ekiild,"Oily, Medium, Neutral",2025-02-08,08 Feb 2025,"Penyelamat skin barrier wajah !! Pertolongan pertama saat kulit wajahmu lagi berontak. Super hydrating bgt. Wajah langsung lembab seketika. Pemakaian 1 minggu udah kelihatan banget, skin barrier kamu get better. Buruan stok buat di rumah!"
elvawiranata,"Dry, Light, Cool",2025-02-08,08 Feb 2025,Ini moistuizerrrr skintificc yang bagus pol pol polllll. Repurchase sudah sampe 2x dan bakalaaaan beli lagiii. Suka pool ini gentle bangeeeet di kulit dan ga buat kulit iritasi bisa dipake semua jenis kuliiittt. Wajib banget untuk beli dan cobaaa
diindut,"Combination, Medium Dark, Warm",2025-02-08,08 Feb 2025,cocok untuk semua jenis kulit khususnya yg kering dan berminyak ini cocok. packagingnya bagus dan bisa dibawa kemana-mana. untuk penggunaan bisa lebih dari 3 bulan dan itu dipakai untuk setiap hari dan 2kali sehari jadi cocok untuk semua kalangan
Thea_Sacharissa,"Oily, Medium Light, Neutral",2025-02-08,08 Feb 2025,Make produk ini udah hmpir 6bulan hasilnya bagus wajah jdi lembab tpi tidak lengket dan moisnya tidak lengket lengket hsil setelah menggunakannya juga bgus ga mengecewakan suka bnget sama produknya wajah juga jadi lebih cerah dan sngt bgus
safirafarsya,"Oily, Medium, Warm",2025-02-08,08 Feb 2025,"Udah gatau ini jar keberapa. Waktu itu wajahku breakout, kusam, dan banyak bekas jerawat. Akhirnya aku putusin buat benerin skin barrier aku salah satu caranya pake moisturizer skintific ini. Bener bener ngebatu banget buat benerin skin barrier aku, dan sampe sekarang aku ga pernah ganti lagi"
Dhiinnn,"Combination, Medium Dark, Neutral",2025-02-08,08 Feb 2025,"Cocok dengan kulitku yang kombinasi karena suka gonta ganti mosturizer akhirnya berakhir di skintific ini untuk memperbaiki kulit barrierku lagi, teksturnya tidak lengket, langsung meresap ke kulit, cocok banget sama kulitku yang suka rewell"
Defvi,"Combination, Medium Light, Neutral",2025-02-08,08 Feb 2025,"Produknha sangat bangus dimuka untuk melembabkan, menghydrating dan bagus bangettttt dimukaa. Memperbaiki skin barier juga, harganya jg worth, apalagi kalau ada event bisa promo harganya, flash sale dan pasti banyam bgt manfaatnya lho"
Ekaliaa,"Combination, Medium, Cool",2025-02-08,08 Feb 2025,"Moist yang sangat cocok untuk mengatasi semua jenis masalah muka. Mulai dari jerawat, bruntusan, kusam. Dapat mengurangi minyak diwajah. Tidak bikin wajah kusam meskipun sudah pemakaian lama. Isi produk banyak meskipun harga cukup pricy."
farahzr,"Oily, Medium Light, Neutral",2025-02-08,08 Feb 2025,"Bisa membuat hidrasi kulit dan memperbaiki skin barrier tidak whitecast, tidak lengket, moist, harga cukup mahal untuk isi yang tidak begitu banyak. Tetapi dalam pemakaian 1 bulan bruntusan bisa memudar dan kondisi kulit menjadi lebih baik"
ulul_kurniawati,"Combination, Medium, Neutral",2025-02-08,08 Feb 2025,"Tekstur yang Ringan dan Mudah Meresap, Aman untuk Kulit Sensitif, dan bisa menyamarkan garis-garis halus dan meningkatkan elastisitas kulit, sehingga sangat nyaman digunakan baik pagi maupun malam . Saya udah beli ke3kalinya"
cindyek,"Combination, Medium Light, Cool",2025-02-08,08 Feb 2025,"Ga ngerti udah abis berapa tube produk. cinta mati banget deh sama skintific. mudah diaplikasiin, ngelembabin muka banget terus yaa dia tuh bikin muka glowing shimering splendid banget. plis cobain deh buat muka kalian seperti uniuni korea"
zilvijazilah,"Combination, Medium, Neutral",2025-02-08,08 Feb 2025,"Enak banget , ringan ke galengket dan bener bener mois terwort it yang pernah saya pake cocok untuk kulit yang acne dan cenderung kering dibuat cream malam juga bisa pokok nya mantab dee enak pol ga bakal nyesel saya ketagihan beli mois ini top🫶"
Hnnybnny,"Oily, Light, Neutral",2025-02-07,07 Feb 2025,"Moisturizer ini too hydrating di kulit ku yang oily, tekstur nya gampang di blend tapi agak heavy krn aku biasa pakai moist yang gel atau watery. Aman untuk acne, gak bikin breakout atau iritasi. Cuman, agak lama “kering” nyaa hehe"
kartikawk_,"Normal, Medium, Neutral",2025-02-07,07 Feb 2025,"Teksturnya ringan dan cepat meresap tanpa rasa lengket, sehingga nyaman digunakan baik pagi maupun malam. Dari pemakaian pertama, saya langsung merasakan kulit lebih lembap dan kenyal. Setelah beberapa minggu, efeknya semakin terlihat. Yang paling saya suka adalah formulanya yang tidak hanya mengandung ceramide"
kartika21_,"Oily, Medium, Neutral",2025-02-07,07 Feb 2025,"Teksturnya ringan dan cepat meresap tanpa rasa lengket, sehingga nyaman digunakan baik pagi maupun malam. Dari pemakaian pertama, saya langsung merasakan kulit lebih lembap dan kenyal. Setelah beberapa minggu, efeknya semakin terlihat: kemerahan berkurang, kulit lebih halus, dan terasa lebih kuat."
msmich,"Oily, Light, Neutral",2025-02-07,07 Feb 2025,"Ini sih best banget yaa buying this product will not dissapointed.. in skin barrier melindungi menjaga kulit jd aman kliatan glowing , aman dan cocok tuk kulit oily prone skin kyk gua.. kemerahan dan jerawat jg aman pake ini, bnr2 lembab dong kulit aku hbs pake ini pokoknya best dehh😍❤️🥰❤️❤️🥰🥰❤️"
rizkaoct,"Dry, Medium, Neutral",2025-02-07,07 Feb 2025,"skintific bagusss buat melembapkan skinbarier bisa dipake tiap hari jugaaa, bisa di pake kapan ajaa mau dipake semua jenis kulit juga bisa, bikin kulit jadi lembab ga kering ga ada efek sampingg mantapp enak bgtttt thxuuuuu lovv lovvivvv"
chanasiah,"Combination, Medium, Neutral",2025-02-07,07 Feb 2025,"Moist skintific ini cocok utk aku. Skin barrierku jadi membaik. Kulit wajah lembab. Semoga cocok seterusnya💕 Pingin cobain produk yang lainnya, skinfitic kalau bikin promo harganya jadi anjlok banget. Oke banget utk maum mendang mending"
kiki_44,"Dry, Medium Light, Neutral",2025-02-07,07 Feb 2025,OG nya ceramide kyknya deh ini. One of the skincare that shows seven times ceramide. Truly works for hydrated and will repurchse again and again. Works gor barrier also mantap deh. Gas ngeng beli yang niacinamide juga bagus semua bagus okee
ayeshasbrn,"Dry, Medium Light, Neutral",2025-02-07,07 Feb 2025,"HUHU SUKA BANGET SAMA MOIST INI, NGELEMBABIN MUKAA SEBAGUS ITU. ini rekomen dari temen awalnya coba-coba lama"" sukaa sm moist ini APALAGII UNTUK DRY SKIN MNRT AKU REKOMEN BANGEEETTTTTTT, kalo untuk oily skin aku kurang tahu ya tp base on my experience ini juara"
shaniaintank,"Dry, Medium Light, Neutral",2025-02-07,07 Feb 2025,"Pakemoistskintific yg ini cocok banget di muka ku. Jadi lebih kenyal dan lembab Harganya juga worth to buy, dengan kandungan maksimal yg cocok di muka ku yg sangat kering. Rekomen buat mahasiswa, harga terjangkau, murah meriah muntah. Cocok buat pelajar"
Wins1981,"Combination, Medium Dark, Neutral",2025-02-07,07 Feb 2025,"Produk skintifik yg ceramide barrier sangat bagus ,cocok wajahku yg bruntusan menjadi halus , dan dikaki terjangkit kudis saya oles dlam 2 hari sembuh paadahal kudisnya uda 1 tahun Love you skintific"
elenamdph,"Normal, Medium Light, Neutral",2025-02-07,07 Feb 2025,"moist paling okee karena bisa ngeberesin skin barrier walaupun agak pricy tapi worth it dengan hasilnya. selain itu, skintific sering promo jadi pasti bisa pake. rekomen banget untuk kulit sensitif. pokoknya sangat recommended bangettttt"
adianwa,"Combination, Light, Cool",2025-02-07,07 Feb 2025,"Aku pakai produk ini udah lama sih, dan selalu beli pake terus. Produku ini enak dan nyaman banget. Nggak buat kulit ber jerawat dan sangat ringan di pakai. Buat makeup nggak geser. Tapi sayang dulu ngga ada ukuran besar. Tapi sekarang ada ukuran besar"
Indah_93,"Combination, Medium, Warm",2025-02-07,07 Feb 2025,Bagus di kulitku cocok pdahal kulitku berminyak tapi lembab awal pertama pakai gak nyangka bakal se worth itu Alhmdulillah rejeki sukses terus skintific semoga produknya makin berkembang dan sukses berkah jaya selalu sentosa baik terimakasih
raditha,"Combination, Medium, Warm",2025-02-07,07 Feb 2025,"Salah satu moist andalan pada saat wajah lagi butuh break selalu pake skintific, efek diesok hari bikin wajah jadi kenyal dan plumpy, berasa wajah seger dan bikin smooth texture di kulit wajah, uda habis 8 jar donkk, best combo juga kalo dipake lyering waktu eksfoliasi"
Hananrobbani_,"Oily, Medium Dark, Warm",2025-02-07,07 Feb 2025,Ini produk jujur yaa bagus lembab nya gak yang terlalu lengket aku suka banget aku beli yang bundling 2 karena nyoba yang pertama ternyata gak cukup 1 kudu re purchase kalau aku belinya di Shopee biar dapet diskon hehe thank you yaa skintific.
luthfianisa,"Combination, Medium Light, Neutral",2025-02-07,07 Feb 2025,"Rekomendasi banget sih ini, aku sudah coba Skintific 5X Ceramide Moisturizer selama beberapa waktu, dan jujur ini salah satu moisturizer terbaik yang pernah aku pakai! Teksturnya ringan, cepat meresap, dan nggak lengket di kulit. Yang paling aku suka, moisturizer ini benar-benar melembapkan kulit seharian tanpa bikin greasy. Efek soothing-nya juga terasa, terutama kalau kulit lagi kering atau iritasi"
susilowatichy,"Dry, Medium Dark, Neutral",2025-02-07,07 Feb 2025,Pertama kali memakai produk ini sangat nyaman dan bikin mencerahkan. saya sarankan untuk teman-teman sekalian. Pertama kali memakai produk ini sangat nyaman dan bikin mencerahkan. saya sarankan untuk teman-teman sekalian trimaksi.
Lasegar,"Combination, Medium Light, Neutral",2025-02-07,07 Feb 2025,"Moisturizer ini sangat melembapkan dan memberikan kelembutan pada kulit. Sayangnya, kurang cocok untuk kulit saya sehingga tidak memberikan hasil yang diharapkan. Meskipun begitu, saya masih tertarik untuk membeli ulang produk ini karena manfaatnya yang terlihat pada kulit orang lainur produk ini juga sangat menyenangkan. Saya berharap bahwa dengan penyesuaian lebih lanjut, produk ini bisa bekerja lebih baik untuk saya. Secara keseluruhan, moisturizer ini patut dicoba karena kualitasnya yang baik dan potensi manfaatnya yang besar."""
muhsinarh,",25 - 29",2025-02-07,07 Feb 2025,"Moisturizer dari Skintific ini memiliki teksturnya ringan, creamy, dan mudah meresap tanpa meninggalkan rasa lengket di kulit. Aroma dari moisturizer ini sangat lembut sehingga cocok untuk perempuan yang sensitif terhadap wangi tertentu. Selain itu, ada kandungan Hyaluronic Acid yang membantu menghidrasi kulit secara mendalam dan Centella Asiatica untuk menenangkan kulit yang iritasi atau kemerahan. Moisturizer ini cocok untuk semua jenis kulit, termasuk kulit sensitif dan berminyak, karena teksturnya yang ringan tidak menyumbat pori-pori"
nadaheriwana,"Combination, Medium Light, Neutral",2025-02-07,07 Feb 2025,"Moist skintific the best yg pernah aku pakai, moist ini bisa jaga skin barier aku, teksturnya ringan, udah repuchese berkali-kali, biasanya aku pakai di pagi dan malam🫶 Aku rekokemndasikan buat kalian yg kulit kering sama seperti aku cocok pakai ini😘"
ilma_alimah,"Oily, Light, Neutral",2025-02-06,06 Feb 2025,"Pelembab bagusss, kupikir ga cocok tenryata sekali cobaa langusng cocok. awal make ga buat jerawatan dan langusng buat tekstur muka lebih halus, jerawat mendem lebih cepet kering dan ga buat break out. bagus pokonyaa ❤️❤️ texturenya lembut banget 🥹 minusnya aga mahal untuk ukuran jar , better yang segede gini sih biar awet juga hehe 😍"
danism,",19 - 24",2025-02-06,06 Feb 2025,"Moisturizer dari Skintific ini hadir dengan kemasan jar berwarna biru pastel yang simpel namun menarik, dilengkapi spatula kecil untuk menjaga kehigienisan produk. Teksturnya ringan, creamy, dan mudah meresap tanpa meninggalkan rasa lengket atau greasy di kulit. Aroma dari moisturizer ini sangat lembut, hampir tidak tercium, sehingga cocok untuk kamu yang sensitif terhadap wangi-wangian. Diformulasikan dengan 5X Ceramide, produk ini efektif memperbaiki dan memperkuat skin barrier, serta menjaga kelembapan kulit hingga 24 jam. Selain itu, ada kandungan Hyaluronic Acid yang membantu menghidrasi kulit secara mendalam dan Centella Asiatica untuk menenangkan kulit yang iritasi atau kemerahan. Moisturizer ini cocok untuk semua jenis kulit, termasuk kulit sensitif dan berminyak, karena teksturnya yang ringan tidak menyumbat pori-pori. Setelah pemakaian rutin, kulit terasa lebih halus, kenyal, dan tampak lebih sehat. Dengan harga yang cukup terjangkau untuk kualitas sekelasnya, Skintific 5X Ceramide Barrier Repair Moisturizer jadi pilihan tepat buat kamu yang ingin menjaga kesehatan kulit tanpa ribet."
Riskawa,"Normal, Medium Light, Neutral",2025-02-05,05 Feb 2025,Ini salah satu produk yang hype pada masanya. Texturenya gel ringan di kulit. Jujur aku rada kurang cocok sama moisturizer satu ini di kulit aku rada muncul bejolan kecil-kecil tapi bukan jerawat. Padahal cuman ganti moisturizer ini doang karena kepo banget buat coba. Ternyata gak cocok alhasil pakai di badan. Untuk kasih lembab ke kulit masih rada kurang sih ini menurut ku
movilicia97,"Combination, Light, Neutral",2025-02-05,05 Feb 2025,"moisturizer lokal pertama yang bisa berdamai sama skin aku. texturenya ringan tapi melembabkan banget, cepet menyerap bisa buat skin preparation before make up, bisa dipakai pagi siang dan sore, ga ada pantangan sama sinar matahari juga"
bi4nsoybe4n,"Combination, Medium, Neutral",2025-02-05,05 Feb 2025,"Ga banget, bikin jerawat makin parah. Bikin berminyak, kusam. Intinya gaa banget!! Muka ancur parah pake ini. Harga mahal isi dikit, mana ga cocok duhhh sayang bgt. Gatau jg sih apa ga cocok sm ceramide, atau gimana dah. Soalnya aku oily skin (pdhal aku pake dikit bgt buat semuka)."
zainabsungkar29,"Combination, Medium Dark, Warm",2025-02-05,05 Feb 2025,"moisturizer skintific bener” bikin wajah halus dan lembab bgt, moisturizer skintific bisaa dibapai sebelum tidur atau sebelum make up, dengan tekaturnya yang ringan dan mudah menyerap serta memberikan hasil yang melembabkan cocok untuk semua jenis kulit"
najwagd,"Dry, Light, Neutral",2025-02-05,05 Feb 2025,Skintific emang bagus banget produknya. Cocok buat kulit aku yang normal cenderung kering. Aku udah habis 2 jar dan teksturnya ga bikin lengket di wajah🥹 pemakaian yang optimal ditambah dengan rangkaian produk skintific lainnya bikin kulit makin sehatt!!🤩
Pipitlaksana,"Combination, Medium, Neutral",2025-02-04,04 Feb 2025,"Ini mah moisturizer kecintaan, teksturnya bikin lembap untuk kulitku yang kering ini. Sensasinya adem pas diolesin. Dan bangun tidur juga tetap lembap. Bagi kalian yang punya kulit kering, menurutku pribadi ini bisa jadi alternatif pilihan pelembap favorit. Repurchase? Definitely yess"
ekahardynti,",19 - 24",2025-02-04,04 Feb 2025,"teksturnya emg gampang nyerep gt trs juga dia tuh ngelembapin bgtt, pricenya sedikit menguras kantong ya 😓😓 cocok buat skin typeku yg normal to oily!! dia jg lumayan ngeredain acne yg merah gitu, emg ada harga ada kualitas sih 😓😓😓💞💞💞🫰🏼🫰🏼🫰🏼tp ada banyak kok moist lain yg harganya dibawah itu tp emg gakalah bagusnyaaa!!"
datuur,"Oily, Medium, Warm",2025-02-04,04 Feb 2025,"moisturizer paling Gong yang wajib repurchase terus. pake ini sebelum tidur keesokan harinya kulit jadi aluuuusssss seperti kulit bayi. melembabkan banget. cocok dipakai all the time, tapi paling mantul kalau dipakai malam"
DwiputriNoviroh,"Combination, Medium Light, Neutral",2025-02-03,03 Feb 2025,"Cocok buat yang ingin memperbaiki skin barier , dengan kandungan centella bikin texture muka jadi smooths setelah pakai mousturizer ini di malam hari, look nya kulit jadi sehat ,cerah dan terawat bersih, cocok juga untuk yang mengalami breakout"
gnalin_,",19 - 24",2025-02-03,03 Feb 2025,"moisturizer andalan aku, bener bener jaga skin barier, terus gak bikin kering, udah repurchase ber kali-kali, sampe kadang beli yang botol gede nya, lembab in kulit terus juga isinya banyak jadi bisa tahan 3 bulan gitu pokoknya best moist banget dehh"
Farida_Zh94,"Dry, Medium Dark, Cool",2025-02-01,01 Feb 2025,"awalnya pake karena tertarik diseliweran fyp tiktok akhirnya coba deh. bagusss sih cuma sayang aja agak lama nyerap ke kulit, kadang merasa muka jdi kyk demek juga dan ga terlalu yang bikin lembab banget buat tipkul aku yg super duper dry inii. tpi oke sih"
Shintiataradifa,"Combination, Medium Dark, Neutral",2025-02-01,01 Feb 2025,Pokoknya sangat cocok buat kulit sensitif dan yang ingin memperbaiki skin barrier. Aku merasa kalo konsisten make ini tu jerawat jadi jarang timbul. Namun sayangnya harus sabar bgt makenya dan jangan mudah tergiur buat gonta ganti ke yg lain dulu.
heypiyaa,"Dry, Medium, Neutral",2025-01-31,31 Jan 2025,"INI PRODUKK KENAPA BAGUS BANGET HELLO?!!💃🏻😭 awal pemakaian udah keliatan bangett hasilnyaaa wajahku cerahan, muka jadi lembab, POKOKNYA AAAAA🤍🤍🤍 dari segi packagingnya bukan dari plastik dan agak gede juga jadi sedikit susah kalo untuk travelling, teruss ada spoolieenyaa ini yang bikin aku makin sukakk,produk jadi lebih higienis karna ngga kena tangan😆😆"
dheacharismata,"Normal, Medium Light, Cool",2025-01-30,30 Jan 2025,"Moisturizer yang cocok buat perbaiki skin barrier, dikulit aku lumayan melembabkan dan bikin kulit jadi halus. Menurutku moist skintific ini juga cocok buat skin prep sebelum makeup karena teskturnya ringan dan gampang meresap dan bisa dipake kapanpun."
Hudzaefah,"Combination, Medium Dark, Warm",2025-01-30,30 Jan 2025,"Kulit terasa lebih halus dan tampak lebih sehat setelah rutin pemakaian moisturizer ini. Teksturnya krim, cepat meresap dan tidak lengket. Membantu menenangkan kulit wajah yang kemerahan atau sensitif dan cocok untuk kulit sensitif Selamat mencoba"
Fitrianid,"Normal, Medium, Neutral",2025-01-29,29 Jan 2025,"Yang bikin menarik, produk ini punya kandungan 5X Ceramide yang bantu memperbaiki skin barrier, plus ada Hyaluronic Acid buat hidrasi ekstra. Cocok banget buat kulit kering atau sensitif yang sering bermasalah sama kemerahan dan iritasi. Selain itu, ada juga Centella Asiatica yang bikin kulit lebih tenang dan adem. Dari pengalaman pakai, pelembap ini enak banget dipakai pagi dan malam. Kalau dipakai sebelum makeup, hasilnya juga nggak bikin foundation nge-crack atau menggumpal. Wanginya hampir nggak ada, jadi aman buat yang sensitif sama fragrance."
Kkazaraa,"Dry, Medium, Neutral",2025-01-26,26 Jan 2025,"Aku si kulit kering itu, dan pake moist ini cocok! Cuman dia bukan yang melembabkan bgt gitu sih, karena tekstur nya watery jadi gampang nyerep! Kalo buat nyerahin dan cuman pake dia aja itu ga mempan ya, pake serum juga jgn lupa !"
vindarianty,"Combination, Light, Neutral",2025-01-15,15 Jan 2025,"Sempet skeptis sama produk yg viral dan marketing nya gembar gembor dimana2, sampe akhirnya cobain karena kulit wajah lg tantrum, kemerahan, beruntusan, tekstur kulit kasar, setelah pemakaian seminggu beneran kondisi kulit wajah membaik, bikin kulit jadi plumpy dan glowing, walaupun kek nya keliatan licin bgt pas di apply ke muka, tapi dia ga bikin muka jadi oily.. Lembab poolll.. Emang sih ga bikin kulitku jadi cerah atau putihan.. aku juga suka pake sebagai skin prep sebelum make up, bikin make up jadi nempel dan lebih bagus.."
malikarintya,"Combination, Medium Light, Warm",2025-01-15,15 Jan 2025,"Jujur, aku tipe yang skeptis kalau ada produk yang terlalu digembor-gemborin, tapi akhirnya jadi nyobain karena mamaku beli. Mind you, hasilnya udah keliatan di satu kali pemakaian. Sebagai normal to oily skin, ini bagus banget buat bikin wajah jadi dewy, kasih kilap natural, bukan kilap oily. Sejauh ini selalu aku pakai di malem hari, dan bangun-bangun wajah tuh seger, kenyal, dan mengkilap kayak “licin” gitu, tapi bukan oily! IMO ini lebih untuk jaga kondisi kesehatan kulit aja sih, fokus ke kelembapan wajah. Kalau untuk ngatasin skin concern, misal jerawat, gak ada efek signifikan."
afdynti,"Oily, Medium, Neutral",2025-01-13,13 Jan 2025,Siapa yang gatau moisturizer viral ini??? Si biru ini emang dapet banget melembabkannya dan cepat meresap di kulit. Cocok banget buat memperbaiki skin barrier karna ketika di apply ke muka enak banget
lela_khopipah,"Oily, Medium Light, Neutral",2025-01-12,12 Jan 2025,Jujurly sebenarnya suka banget sama brand ini. Aku pake produk lainnya juga dari brand ini. Tapi sayangnya pemakaian 1 jar sampai habis aku ga merasa ada efek apapun di kulit aku yang berjerawat. So sad :(( padahal banyak banget yang cocok dengan moist ini.
Ideliaa,"Combination, Medium, Neutral",2025-01-08,08 Jan 2025,"Aku pake ini kalo wajah ku lagi breakout parah, ngaruh banget si di aku untuk moist nya bikin melembabkan, ga perih sama sekali di kulit, ga bikin panas meskipun lagi jerawatan besar, bantu untuk menenangkan jerawat juga. Recommend/repurchase? yes"
vkadriani,"Combination, Medium Light, Neutral",2025-01-08,08 Jan 2025,"Tadinya beli karena penasaran sama review orang2 si tiktok, kok, pada cocok dan bagus, iseng beli nyobain, skrg jadi pelembap malem aku,setelah repurchase yg kesekian kalinya, akhirnya memutuskan untuk beli yg size besar, karena selembap itu, skin barrier ngga cerewet lagi. Worthed banget!"
anggitanurrahma,"Combination, Light, Neutral",2025-01-07,07 Jan 2025,"Ternyata emang sebagus itu yaa moist skintific . Dia bikin lembab, mengurangi redness dan bonusnya glowing. Sepertinya meskipun cuma pake moist ini aja aku pede deh krn di aku cocok jd lebih sehat kulitnya. Tp emang harganya lumayaan yaaa dan cepet banget abisnya"
casthayiest,"Oily, Medium Light, Warm",2025-01-05,05 Jan 2025,"love hate sih sm moisturizer inii, awalnya aku beli karna review orang"" di fd katanya bagus jd akhirnya aku coba beli krn pas itu lg sensitif bgt juga wajahku. emang bener bgt moist ini juara bgt soal ngecalming kemerahan tu bener"" cepet bgt gt. aku apply pas wajahku merah"" trs bbrp menit kemudian lgsg hilang tu merah"", cuman diaku buat kusam bgt asli ga tanggung"" lgsg beda muka sm leherku gegara make ni moist tp ya gitu kemerahan ku ilang tp kusamkusam bgt. - nya lagi gabisaa dipake skinprep ternyataa 😭😭 pdhl menurutku ni moist ckp ringan tp emang aku kn oilyskin parah jd dia ga oil control krn emg buat dryskin tp best lah buat calming"
TirtaAyu,"Oily, Medium, Cool",2025-01-04,04 Jan 2025,"My fav moisturizer ever!! Gilak sih ini aku suka bangettt.. Kalo kulit lg kemerahan atau bruntusan aku pakenya agak tebelan 😂 tp paginya lumayan berkurang, bikin lembab jg. Pokoknya love banget ama skintific🫶🏻🫶🏻"
cindjasmine,"Combination, Medium Light, Neutral",2025-01-03,03 Jan 2025,"Produk skintific pertama yang aku coba. Asli, first impression cukup kaget setelah diaplikasiin, beberapa area di wajahku langsung dong kerasa smooth banget, ngga kayak biasanya. Cocok banget di kulit, langsung menyerap dengan baik dan sejauh ini ngga ada masalah. Udah repurchase berulang-ulang sampe sekarang."
pitriyani1990,"Dry, Medium, Neutral",2025-01-02,02 Jan 2025,"Nyobain travel sizenya yg harganya ga bisa dibilang murah juga hahaha, kupikir bakal cocok ternyata Engga dong huhuhu padahal packagingnya bagus baunya juga tidak menyengat cuma muka jadi benyek tidak terhidrasi walwupun tidak ada breakout"
Sukmachang,"Combination, Light, Cool",2024-12-31,31 Dec 2024,"Ini product moisturizer pertama aku, setelah pemakaian empat bulan ini yang aku rasain kulit aku jadi ngga beruntusan di daerah jidat. Ngeh nya akhir akhir ini, biasanya pas mens pasti bakal ada beruntusan rame banget di area jidat aku. Ini ada tapi cuma ada 2 biji itu pun kecil dan kalau dilihat sekilas ngga terlalu kelihatan. Kulit ku termasuk sensitif banget, kalau kandungannya ada yang terlalu tinggi konsentrasi nya pasti langsung gatel gatel, moist ini ngga sih, aku pake nyaman nyaman aja, tapi memang iya sih, aku make nya tipis tipis aja hemat soalnya hahaha"
rahmanyun,"Oily, Light, Neutral",2024-12-27,27 Dec 2024,"Moisturizer terbaik 👍🏻 Awalnya beli maju mundur 🤣 Dapetlah harga flash sale . Setelah pemakaian hampir 2 bulan, yg aku dapat di wajah aku lembab, kenyel, kemerahan menghilang, bekas jerawat tersamarkan, udah gak ada lagi bruntusan, tekstur kulit halussssss 😍 udah gak ada lagi tekstur kulit jeruk 🥰 Nyesel banget, Kenapa gak dari dulu aku pake ini produk 🥺"
cheliahani,"Combination, Medium Light, Neutral",2024-12-23,23 Dec 2024,"Beli yg 80ml abis 4-5 botol. Satu botol bisa tahan sampe 3-4 bulan. Teksturnya watery jd cocok buat kulit berminyak tp kurang nampol buat aku yg kulit kering jd suka aku apply lagi buat daerah bibir&dagu. Adem di muka trs bisa bikin kalem jerawat mendem yg ngilu dan merah itu, tp ga membantu proses matengin jerawatnya sih"
Billaaatyy23,"Combination, Medium, Neutral",2024-12-23,23 Dec 2024,"Udah sering repurchase pelembab satu ini karena cocokk banget dikulitku yang acne prone & kombinasi ini! Efeknya bener"" bisa calm muka ku yang kemerahan sama memperbaiki skin barrier akuu. Best repurchase sih ini barang, tapi sayangnya hanya di harga aja:("
tarizya,"Oily, Medium Light, Neutral",2024-12-21,21 Dec 2024,"Beli karna aku gapunya moisturizer waktu itu, trus tertarik coba produk ini karna packagingnya gemes wkwk, aku pake pagi sama malam, okey sih di aku bikin kulitku lembab dan nyaman aja gitu, udah repurchase ke tiga kalinya karna aku boros banget"
emiliaptrs123,"Oily, Medium, Neutral",2024-12-20,20 Dec 2024,"Ini moist pertama gua dan hasilnya beneran kulit gua glowing terutama di area jidat. Skin barrier gua bener bener membaik setelah pakai ini dan ini ga bikin muka gua makin greasy, dipake di siang hari pun so far aman, anw tipkul gua itu oily acne prone dan ini sangat amat tentram dan nyaman di kulit gua. Minus nya mahal bat ya ampun, ga kuat mau beli lagi, jadi masih berusaha nyari opsi moist lain yang lebih murah dengan isi yang lebih banyak tapi sejauh belum ada yang ngalahin moist ini untuk gua"
audriamd,"Oily, Medium Light, Neutral",2024-12-20,20 Dec 2024,"What are you searching for? Pelembap yang efektif untuk memperbaiki dan menjaga kesehatan skin barrier dengan tekstur yang nyaman digunakan sehari-hari? YESS... this is the answer. Pelembap ini mengandung 5 jenis ceramide yang diformulasikan untuk memperbaiki dan menjaga skin barrier. Teksturnya berupa gel ringan yang mudah meresap tanpa rasa lengket, cocok untuk semua jenis kulit, termasuk kulit sensitif atau berminyak. Efeknya terasa melembapkan dan menenangkan kulit yang kering atau iritasi. Namun, bagi kulit yang sangat kering, hidrasi tambahan mungkin masih diperlukan. Produk ini juga membantu mengurangi tanda-tanda kerusakan barrier seperti kemerahan atau kulit kasar jika digunakan secara rutin."
rahmay1311,"Combination, Medium, Neutral",2024-12-13,13 Dec 2024,"Pakai ini karna viral banget pada masanya dan lumayan bagus, apalagi teksturnya itu ringan banget dan gampang meresap di kulit ditambah ga lengket atau wanginya nyegrek gitu sih. Jadi aku suka kalo packing yang kecil yaa standar aja sihh lebih suka yg besar karna lebih cuan. Klo ini kek ga sampe sebulan abiss :("
mirza_pradita,"Oily, Medium, Neutral",2024-12-13,13 Dec 2024,"Pertama tau karena viral, eh jadi pingin cobain langsung. Pas udah cobain langsung, kulit auto lembab, rasanya ada ademnya. Beberapa kali coba, kulit makin bagus. Aman buat kulit sensitif. Packagingnya simpel elegan. Ukurannya kecil mudah dibawa"
